time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
8598998,0.000011,0.003745,0.000452,0,0,0,0,0.000000,0.000000,-2.000000,6.000000,0,-0.000000,0.000000
8608998,0.000011,0.003594,0.000472,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
8619001,0.000011,0.003563,0.000476,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
8628998,0.000011,0.003571,0.000475,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8639001,0.000012,0.003801,0.000445,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
8648999,0.000012,0.004005,0.000418,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8658998,0.000013,0.004137,0.000400,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8669000,0.000013,0.004423,0.000363,0,0,0,0,0.000000,0.000000,2.000000,4.000000,0,-0.000000,0.000000
8678998,0.000014,0.004610,0.000338,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8703930,0.000013,0.004354,0.000372,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8713930,0.000013,0.004448,0.000359,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8723930,0.000013,0.004208,0.000391,0,0,0,0,0.000000,0.000000,-2.000000,4.000000,0,-0.000000,0.000000
8733930,0.000013,0.004206,0.000391,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8743930,0.000013,0.004195,0.000393,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8753930,0.000012,0.003909,0.000430,0,0,0,0,0.000000,0.000000,2.000000,4.000000,0,-0.000000,0.000000
8763930,0.000012,0.003815,0.000443,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8773930,0.000011,0.003645,0.000465,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8783930,0.000011,0.003678,0.000461,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8793930,0.000011,0.003620,0.000468,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8803931,0.000012,0.003788,0.000446,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8813930,0.000012,0.004093,0.000406,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8823930,0.000013,0.004358,0.000371,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
