volt,velo,accel,dt
10059.0,359.6,17974.607,20006.0
10306.0,374.2,18707.195,20003.0
7090.0,295.6,14780.739,19999.0
7669.0,356.4,17828.914,19990.0
9653.0,403.2,20161.008,19999.0
9917.0,349.6,17480.875,19999.0
9844.0,364.4,18220.91,19999.0
9954.0,370.8,18540.926,19999.0
9905.0,357.0,17850.0,20000.0
9800.0,333.2,16660.834,19999.0
9856.0,377.0,18850.0,20000.0
9622.0,343.0,17150.857,19999.0
9794.0,368.6,18430.0,20000.0
9862.0,379.4,18972.846,19997.0
9862.0,398.0,19900.994,19999.0
