,left_voltage,right_voltage,left_velo,right_velo,dt
1091,-10601,-10614,-442.0,-457.600006,20000
1092,-10626,-10638,-460.0,-454.399994,19999
1093,-10718,-10724,-482.0,-480.200012,19999
1094,-10694,-10737,-465.200012,-486.600006,20001
1095,-10700,-10761,-474.200012,-474.600006,19997
1096,-10743,-10755,-483.399994,-482.600006,20000
1097,-10743,-10786,-473.200012,-493.399994,19999
1098,-10780,-10829,-476.0,-506.200012,19999
1099,-10829,-10848,-507.0,-504.799988,19999
1100,-10780,-10823,-484.0,-495.0,19999
1101,-10786,-10811,-482.200012,-506.799988,20005
1102,-10872,-10139,-480.799988,-464.200012,19999
1103,-11076,-7133,-508.799988,-393.0,19994
1104,-11230,-4318,-498.399994,-298.0,20006
1105,-11260,-3357,-512.599976,-233.399994,19993
1106,-11248,-3733,-526.200012,-304.0,20003
1107,-11193,-801,-501.399994,-271.399994,19999
1108,-10897,2944,-483.399994,-116.0,19994
1109,-10410,5636,-485.0,-0.0,19999
1110,-10460,5809,-476.600006,-0.0,20000
1111,-10515,5704,-503.600006,10.2,19998
1112,-10404,5840,-443.0,10.2,20000
1113,-10330,5803,-429.0,22.6,19998
1114,-10275,6400,-444.799988,62.400002,20000
1115,-10047,7558,-406.600006,147.0,19999
1116,-10028,8692,-419.399994,179.199997,19998
1117,-9967,8667,-414.399994,191.600006,20000
1118,-10028,8661,-392.600006,197.199997,20000
1119,-9979,9135,-419.600006,261.799988,19998
1120,-9930,9609,-395.0,253.600006,19999
1121,-9948,9480,-393.399994,276.799988,20000
1122,-9954,9831,-381.600006,315.799988,19999
1123,-9998,9905,-397.0,353.600006,19999
1124,-10010,9954,-365.399994,345.0,19998
1125,-10084,10028,-394.0,365.600006,19999
1126,-10090,10065,-390.399994,384.0,19997
1127,-10115,10078,-390.200012,383.799988,20001
1128,-10152,10182,-386.0,392.600006,19998
1129,-10207,10201,-398.0,404.0,19998
1130,-10188,10269,-378.799988,420.0,20002
1131,-10293,10330,-407.200012,422.0,19998
1132,-10269,10355,-397.399994,450.200012,19998
1133,-10318,10342,-404.399994,434.0,20000
1134,-10238,10306,-382.200012,410.799988,20000
1135,-10213,10281,-372.600006,423.200012,19997
1136,-10250,10318,-396.200012,432.799988,20000
1137,-10232,10324,-373.600006,446.799988,20008
1138,-6733,8063,-295.600006,386.600006,19990
1139,-6160,6480,-312.600006,349.799988,20006
1140,-4946,5421,-295.600006,337.200012,19992
1141,-3813,4546,-261.600006,304.399994,19997
1142,-3302,3905,-234.199997,266.600006,19999
1143,-2889,3554,-209.199997,265.399994,19998
1144,-2593,3351,-193.199997,244.800003,19998
1145,-2445,3616,-186.600006,265.799988,20002
1146,-2760,3973,-213.399994,287.799988,19996
1147,-2914,3850,-219.199997,266.600006,19999
1148,-2618,3579,-195.600006,259.200012,19999
1149,-2304,2920,-175.399994,195.399994,19999
1150,-1928,2162,-151.600006,156.0,20011
1151,-2538,-1201,-129.800003,123.199997,20000
1152,-7595,-5063,-330.0,-160.399994,19989
1153,-9480,-8581,-301.799988,-160.800003,20000
1154,-9147,-4854,-176.199997,-0.0,19999
1155,-7996,-6819,-168.199997,-0.0,19998
1156,-8993,-6591,-237.800003,-65.199997,19999
1157,-9043,-8365,-209.399994,-154.800003,19999
1158,-8870,-8556,-226.600006,-139.199997,20135
1159,-9203,-7774,-269.799988,-166.399994,19864
1160,-9431,-8846,-287.200012,-235.399994,19998
1161,-9523,-9283,-307.799988,-264.200012,20000
1162,-9560,-9486,-293.799988,-278.600006,19999
1163,-9659,-9579,-329.399994,-289.799988,20964
1164,-9776,-9671,-342.600006,-308.200012,19998
1165,-9850,-9837,-340.200012,-349.799988,19999
1166,-9936,-9911,-358.600006,-338.600006,20005
1167,-6764,-10312,-286.799988,-395.399994,19999
1168,-5445,-10552,-323.600006,-386.600006,19994
1169,-4293,-10731,-285.799988,-421.0,19999
1170,-3560,-10743,-246.800003,-384.600006,19999
1171,-2864,-10798,-198.600006,-410.200012,20000
1172,-2421,-10897,-184.0,-440.0,19998
1173,-2636,-11026,-211.800003,-444.600006,19999
1174,-3610,-11020,-281.399994,-456.0,20000
1175,-3813,-11063,-283.0,-467.200012,19998
1176,-3554,-11112,-256.399994,-480.0,20000
1177,-3031,-11112,-217.399994,-459.200012,19998
1178,-2636,-11149,-193.600006,-478.600006,19999
1179,-2224,-11168,-171.600006,-492.399994,19999
1180,-1860,-11143,-146.199997,-466.600006,20000
1181,-1620,-11168,-126.800003,-470.799988,19999
1182,-1374,-11149,-119.599998,-476.399994,19999
1183,-1226,-11125,-108.0,-464.200012,19999
1184,-1331,-11137,-119.800003,-463.399994,19999
